"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:06 CST 2021","1004","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromIterable","4th dynamic test",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.AssertDemo","","junit5.AssertDemo","printl","printl()",""
"passed","Thu Jul 01 15:58:06 CST 2021","Thu Jul 01 15:58:07 CST 2021","1005","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsFromIterator","6th dynamic test",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","0","","junit5.MyFirstTestcase.MyThirdNestedClass","","junit5.MyFirstTestcase$MyThirdNestedClass","thirdClassCase1","这是thirdClassCase1测试方法DisplayName",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","1","","junit5.DataSourceDemo","","junit5.DataSourceDemo","testWithExplicitArgumentConversion","[7] HalfDays",""
"passed","Thu Jul 01 15:58:10 CST 2021","Thu Jul 01 15:58:10 CST 2021","0","","junit5.DataSourceDemo","","junit5.DataSourceDemo","strValueSource","[3] value3",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:10 CST 2021","1005","","junit5.AssumptionsDemo","","junit5.AssumptionsDemo","testInAllEnvironments","testInAllEnvironments()",""
"passed","Thu Jul 01 15:58:05 CST 2021","Thu Jul 01 15:58:05 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","dynamicTestsWithContainers","length > 0",""
"passed","Thu Jul 01 15:58:07 CST 2021","Thu Jul 01 15:58:07 CST 2021","0","","junit5.DynamicTestsDemo","","junit5.DynamicTestsDemo","generateRandomNumberOfTestsFromIterator","input:26",""
"passed","Thu Jul 01 15:58:09 CST 2021","Thu Jul 01 15:58:09 CST 2021","0","","这是MyFirstTestcase的测试类DisplayName","","junit5.MyFirstTestcase","testcase3","只有操作系统是macOs才会执行😱",""
